filename,source,source_id,creator,license,license_url,orig_url,width,height,sha256,query,collected_utc,gdrive_path
interiors/mit_indoor67_airport_inside_air_bf1fc39676_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0014,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0014.jpg,2340,1404,62c7509e85257c8e54ce5b3f23d4b54e657a63570478133e21a697331784049a,airport_inside,2026-07-20T18:15:50+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_bf1fc39676_airport_inside.png
interiors/mit_indoor67_airport_inside_air_0777bd9b54_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0140,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0140.jpg,1400,1050,18b25ed1ebad17f71f0e5b8bde7196942b51f5343d4860e4a60177c7c9edda50,airport_inside,2026-07-20T18:15:54+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_0777bd9b54_airport_inside.png
interiors/mit_indoor67_airport_inside_air_4e76ec8266_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0141,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0141.jpg,1400,1050,84cd9ab00a0916630eff21d3c534566c11c4104bb6a9b686264dc2e6141e2de0,airport_inside,2026-07-20T18:15:57+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_4e76ec8266_airport_inside.png
interiors/mit_indoor67_airport_inside_air_f7ef4f1e3e_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0159,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0159.jpg,1600,1200,feca584b486b9d0bb18e3f2b864191a2a41f2e4373654e4ca422c7a399076b9f,airport_inside,2026-07-20T18:16:03+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_f7ef4f1e3e_airport_inside.png
interiors/mit_indoor67_airport_inside_air_398d011d24_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0162,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0162.jpg,1400,1050,fe65df3322aa405e37abd7573ca8ccf2079eccd5285420f27980cfad1888fc81,airport_inside,2026-07-20T18:16:39+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_398d011d24_airport_inside.png
interiors/mit_indoor67_airport_inside_air_c752963e6c_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0188,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0188.jpg,1400,1050,d85f1f26bf5718d3dfd4791b1ea1a5d7446410dd213e3cda5f54f78e7c5e378b,airport_inside,2026-07-20T18:16:43+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_c752963e6c_airport_inside.png
interiors/mit_indoor67_airport_inside_air_c4e09e1e2d_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0201,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0201.jpg,1400,1050,24c36f825a28f7dd494e631094bdf21bf1a1fc9443f8c7b1cb99f39d77711c41,airport_inside,2026-07-20T18:16:47+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_c4e09e1e2d_airport_inside.png
interiors/mit_indoor67_airport_inside_air_a631946870_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0217,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0217.jpg,1400,1050,a28da4e65bcac404c753184b32266cc289a877a5aa906be911310bf4d6efc7f3,airport_inside,2026-07-20T18:16:51+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_a631946870_airport_inside.png
interiors/mit_indoor67_airport_inside_air_7753933f7d_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0218,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0218.jpg,1400,1050,d7772f4c1a801c0137be4170f38eb53cb09b6b15e49939f627e054478e38cbd8,airport_inside,2026-07-20T18:16:55+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_7753933f7d_airport_inside.png
interiors/mit_indoor67_airport_inside_air_7b0db4b4f7_airport_inside.png,mit_indoor67,airport_inside_airport_inside_0221,dataset,mit_indoor67 research licence,,/Users/davidusa/.cache/l6_kaggle/itsahmad_indoor_scenes_cvpr_2019/indoorCVPR_09/Images/airport_inside/airport_inside_0221.jpg,1400,1050,f24e1f44687b99de49503f572aaa7a2eec1d103850aec332d2682ed4c0311f6f,airport_inside,2026-07-20T18:16:59+00:00,gdrive:corpus_L6/interiors/mit_indoor67_airport_inside_air_7b0db4b4f7_airport_inside.png
